runnumber,fraction_fit,localepochs,localbatchsize,clients,rounds,r2,traintime,distribution
1,0.2,5,16,5,5,0.9355312143037172,15.389620065689087,0
2,0.5,5,16,5,5,0.9347141487927592,19.78114676475525,0
3,1.0,5,16,5,5,0.9367405797440654,21.843189001083374,0
4,0.2,5,16,5,5,0.9569155505099634,26.057687044143677,1
5,0.5,5,16,5,5,0.9556539797754389,25.93808889389038,1
6,1.0,5,16,5,5,0.9581284614504346,29.788538694381714,1
7,0.2,5,16,5,10,0.9659394102515539,27.26645588874817,0
8,0.5,5,16,5,10,0.9596233468699413,33.03898310661316,0
9,1.0,5,16,5,10,0.9658626172443554,38.05635094642639,0
10,0.2,5,16,5,10,0.9673392969371438,42.00510287284851,1
11,0.5,5,16,5,10,0.9630054459407339,45.067142963409424,1
12,1.0,5,16,5,10,0.9714573339880294,52.070075273513794,1
13,0.2,5,16,5,15,0.9701252909646847,43.485726833343506,0
14,0.5,5,16,5,15,0.9688945681089532,40.123947620391846,0
15,1.0,5,16,5,15,0.9718651246573339,53.385560035705566,0
16,0.2,5,16,5,15,0.9720587154666461,50.995779275894165,1
17,0.5,5,16,5,15,0.9738941431561954,67.25894689559937,1
18,1.0,5,16,5,15,0.9740157024283389,78.37979292869568,1
19,0.2,5,16,5,20,0.9725120071987107,57.858052015304565,0
20,0.5,5,16,5,20,0.9704441864830834,57.66620993614197,0
21,1.0,5,16,5,20,0.9730873301923607,70.30157017707825,0
22,0.2,5,16,5,20,0.9743056353217577,85.47669100761414,1
23,0.5,5,16,5,20,0.9710121330379248,79.6625599861145,1
24,1.0,5,16,5,20,0.9747031136479343,100.58947491645813,1
25,0.2,5,16,25,5,0.9175256195835558,14.750734090805054,0
26,0.5,5,16,25,5,0.9173634538166572,17.0329008102417,0
27,1.0,5,16,25,5,0.9222296825806647,22.757797241210938,0
28,0.2,5,16,25,5,0.9240156340909799,16.458759307861328,1
29,0.5,5,16,25,5,0.9242393024846018,17.69329810142517,1
30,1.0,5,16,25,5,0.9234048876821066,23.241780996322632,1
31,0.2,5,16,25,10,0.925528076345265,19.450108289718628,0
32,0.5,5,16,25,10,0.9239848293423555,24.998370885849,0
33,1.0,5,16,25,10,0.9241592242208365,38.22410607337952,0
34,0.2,5,16,25,10,0.9291056203857532,21.951108932495117,1
35,0.5,5,16,25,10,0.9301330877625127,26.61536979675293,1
36,1.0,5,16,25,10,0.92776583923849,39.201292753219604,1
37,0.2,5,16,25,15,0.9247718202615824,24.57226800918579,0
38,0.5,5,16,25,15,0.9288645288872559,33.78738522529602,0
39,1.0,5,16,25,15,0.9288065164944402,53.38299202919006,0
40,0.2,5,16,25,15,0.9423941376464213,28.408496856689453,1
41,0.5,5,16,25,15,0.9385448798462959,35.83545970916748,1
42,1.0,5,16,25,15,0.9397680711394671,54.047119140625,1
43,0.2,5,16,25,20,0.9350703391992697,29.594336986541748,0
44,0.5,5,16,25,20,0.9340650878123458,42.23102068901062,0
45,1.0,5,16,25,20,0.9348653524544366,68.73949217796326,0
46,0.2,5,16,25,20,0.9476645769573347,33.35895395278931,1
47,0.5,5,16,25,20,0.9600954180549237,43.70641088485718,1
48,1.0,5,16,25,20,0.9528500397652152,70.16802787780762,1
49,0.2,5,16,30,5,0.9178648027552068,15.105111837387085,0
50,0.5,5,16,30,5,0.9218736024263584,19.19597601890564,0
51,1.0,5,16,30,5,0.9209626109245426,23.936950206756592,0
52,0.2,5,16,30,5,0.9217050351560298,16.504300832748413,1
53,0.5,5,16,30,5,0.9228238528976478,18.78885316848755,1
54,1.0,5,16,30,5,0.9239584203645627,25.069438934326172,1
55,0.2,5,16,30,10,0.9225614480883183,20.306140899658203,0
56,0.5,5,16,30,10,0.9244305002772287,27.825186252593994,0
57,1.0,5,16,30,10,0.9244913827209065,40.06418299674988,0
58,0.2,5,16,30,10,0.9236296619638052,23.334993839263916,1
59,0.5,5,16,30,10,0.9288835909154657,27.42234992980957,1
60,1.0,5,16,30,10,0.9282593571488812,41.65413022041321,1
61,0.2,5,16,30,15,0.9256375600512128,25.268362998962402,0
62,0.5,5,16,30,15,0.9262460867872431,38.02154803276062,0
63,1.0,5,16,30,15,0.9272267138645232,56.11202001571655,0
64,0.2,5,16,30,15,0.9353812161953886,29.559431791305542,1
65,0.5,5,16,30,15,0.9348841255913676,37.05043578147888,1
66,1.0,5,16,30,15,0.9346093951304983,60.43236780166626,1
67,0.2,5,16,30,20,0.9307266721887004,30.44920015335083,0
68,0.5,5,16,30,20,0.93132146427996,47.73090672492981,0
69,1.0,5,16,30,20,0.9289424914802739,73.30548977851868,0
70,0.2,5,16,30,20,0.9456274574888166,36.02657985687256,1
71,0.5,5,16,30,20,0.9560798624393492,47.29230999946594,1
72,1.0,5,16,30,20,0.9562349376378122,74.10602521896362,1
73,0.2,5,32,5,5,0.9202903053309234,13.435133218765259,0
74,0.5,5,32,5,5,0.9273441871818074,13.294492244720459,0
75,1.0,5,32,5,5,0.9284086022930234,14.880411148071289,0
76,0.2,5,32,5,5,0.9341159488018493,15.791814804077148,1
77,0.5,5,32,5,5,0.9413836377325406,18.836395978927612,1
78,1.0,5,32,5,5,0.9416430361847175,19.61472487449646,1
79,0.2,5,32,5,10,0.9549943139852032,20.711787939071655,0
80,0.5,5,32,5,10,0.9538303001879717,19.287968158721924,0
